iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
70.0,2,0.6518056412537891,3.5941597700119026,0.7796666681766511,0.15233333408832547
80.0,2,0.5938170681397119,3.7631473938624063,0.780000001192093,0.14933333384493983
90.0,2,0.5413785487413406,3.9741646766662595,0.8039999981721242,0.15099999979138373
100.0,2,0.5065783828496934,4.082926233609517,0.8109999974568686,0.12299999917546905
110.0,2,0.4762994954983394,4.252431472142538,0.8126666665077209,0.14366666711866852
120.0,2,0.4402236794432004,4.488938085238139,0.8310000002384187,0.1320000005265077
130.0,2,0.42247717281182606,4.504228281974794,0.8390000025431315,0.1143333324541648
140.0,2,0.4022443915406864,4.773205629984538,0.8423333346843719,0.12766666735212007
150.0,2,0.3804261098305384,4.78319198290507,0.8436666627724965,0.11533333323895925
160.0,2,0.3688039233287175,4.8250903924306225,0.8446666638056436,0.1189999997615814
170.0,2,0.35794564435879384,5.002075338363648,0.8493333319822947,0.11300000039239727
180.0,2,0.3412696808576585,5.163433726628621,0.8576666653156281,0.10600000011424222
190.0,2,0.33486029307047527,5.3612692674001075,0.8600000063578289,0.11366666667163366
200.0,2,0.3231236045559247,5.199881649017334,0.8663333316644033,0.09066666724781194
210.0,2,0.31384138961633046,5.337650092442831,0.8659999986489616,0.09899999983608719
220.0,2,0.30657199571530025,5.298655255635579,0.8723333338896433,0.08900000018378096
230.0,2,0.30099117904901507,5.5250365416208895,0.8656666656335197,0.10000000024835264
240.0,2,0.29319379876057305,5.505531279246012,0.872333331902822,0.09266666701684394
250.0,2,0.28634179880221683,5.476099554697671,0.8740000009536746,0.10366666664679841
260.0,2,0.282577187816302,5.654095284144084,0.8786666651566825,0.0956666665151715
270.0,2,0.2800540005167325,5.910295581817624,0.8759999970595042,0.10466666656235851
280.0,2,0.2727198258042336,5.602557818094888,0.8769999980926514,0.09233333369096118
290.0,2,0.26955376242597895,5.837870550155639,0.8810000002384187,0.10633333375056579
300.0,2,0.26351571107904115,5.882266235351562,0.8836666643619537,0.09466666697214046
310.0,2,0.2588845583299796,5.777005052566528,0.8816666662693023,0.0970000002533197
320.0,2,0.25514131262898443,5.941862551371256,0.8843333264191946,0.0990000010778506
330.0,2,0.25155079364776617,5.871892372767131,0.8869999984900157,0.1026666668554147
340.0,2,0.2499211003383001,6.076313432057701,0.8839999993642174,0.10033333295335368
350.0,2,0.24687591294447578,5.868296670913696,0.8866666654745737,0.09866666682064532
360.0,2,0.2439525961875916,6.072240241368611,0.8903333266576133,0.0933333339790503
370.0,2,0.24446445132295289,6.32879492441813,0.8929999967416128,0.09833333374311526
380.0,2,0.23750556682546942,6.241324790318806,0.8899999996026359,0.09433333383252225
390.0,2,0.23568621526161826,6.065252828598023,0.8913333237171172,0.10533333395918208
400.0,2,0.2324580006301403,6.201130835215252,0.890666659673055,0.09966666611532365
410.0,2,0.23741915648182235,6.443547121683755,0.8953333298365275,0.10233333433667817
420.0,2,0.2261612892150879,6.229270839691161,0.8963333288828534,0.09500000004967049
430.0,2,0.22454513584574068,6.228532187143963,0.8923333326975503,0.10100000003973637
440.0,2,0.22148586412270865,6.241017802556355,0.8946666638056437,0.0940000003824631
450.0,2,0.22164436280727384,6.458783674240114,0.8963333328564962,0.09799999923755723
460.0,2,0.22335070073604582,6.465405559539795,0.8919999996821086,0.10566666672627129
470.0,2,0.2163058559099833,6.312257989247642,0.8956666628519695,0.09700000025331972
480.0,2,0.21500847811500232,6.2048072020212794,0.8939999957879385,0.10100000028808906
490.0,2,0.21399648065368326,6.5203778743743905,0.8989999989668527,0.09466666647543508
500.0,2,0.21124141116937004,6.358245515823365,0.8953333318233492,0.09566666670143603
510.0,2,0.21118995721141495,6.55339093208313,0.9023333350817363,0.09699999957034984
520.0,2,0.20730105414986613,6.359964895248413,0.8989999989668529,0.09500000067055223
530.0,2,0.20830441613992062,6.411370118459065,0.8930000027020776,0.09266666596134501
540.0,2,0.2061460802952449,6.597189601262411,0.8980000019073486,0.10199999908606208
550.0,2,0.20380013311902684,6.474734512964885,0.9013333340485892,0.0976666662842035
560.0,2,0.20519724066058798,6.683601967493697,0.8970000008742015,0.10699999916056788
570.0,2,0.201701537768046,6.613803545633951,0.900666666030884,0.10366666639844577
580.0,2,0.20204051683346427,6.720555146535237,0.8980000019073486,0.10399999904135859
590.0,2,0.1992798032859961,6.671732966105141,0.900666670004527,0.1019999988377094
